Spot Pairs,Order Type,Direction,feeCoin,ExecFeeV2,Filled Value,Filled Price,Filled Quantity,Fees,Transaction ID,Order No.,Timestamp (UTC)
BTCUSDT,MARKET,BUY,BTC,0.0001832,12853.00056000000000000000,70158.30000000000000000000,0.18320000000000000000,--,2290000001064762030, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000015,105.23745000000000000000,70158.30000000000000000000,0.00150000000000000000,--,2290000001064762029, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000261447,18342.62477070000000000000,70158.10000000000000000000,0.26144700000000000000,--,2290000001064762028, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000021379,1499.91001990000000000000,70158.10000000000000000000,0.02137900000000000000,--,2290000001064762027, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000195,13680.82950000000000000000,70158.10000000000000000000,0.19500000000000000000,--,2290000001064762026, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000001426,100.04545060000000000000,70158.10000000000000000000,0.00142600000000000000,--,2290000001064762025, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000004345,304.83694450000000000000,70158.10000000000000000000,0.00434500000000000000,--,2290000001064762024, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000004345,304.83694450000000000000,70158.10000000000000000000,0.00434500000000000000,--,2290000001064762023, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000024516,1719.99597960000000000000,70158.10000000000000000000,0.02451600000000000000,--,2290000001064762022, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000014253,999.96339930000000000000,70158.10000000000000000000,0.01425300000000000000,--,2290000001064762021, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000072,505.13832000000000000000,70158.10000000000000000000,0.00720000000000000000,--,2290000001064762020, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000002,14.03162000000000000000,70158.10000000000000000000,0.00020000000000000000,--,2290000001064762019, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000002,14.03162000000000000000,70158.10000000000000000000,0.00020000000000000000,--,2290000001064762018, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000078,547.23318000000000000000,70158.10000000000000000000,0.00780000000000000000,--,2290000001064762017, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762016, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762015, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762014, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010021,703.05432010000000000000,70158.10000000000000000000,0.01002100000000000000,--,2290000001064762013, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010021,703.05432010000000000000,70158.10000000000000000000,0.01002100000000000000,--,2290000001064762012, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010047,704.87843070000000000000,70158.10000000000000000000,0.01004700000000000000,--,2290000001064762011, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762010, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762009, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010047,704.87843070000000000000,70158.10000000000000000000,0.01004700000000000000,--,2290000001064762008, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010021,703.05432010000000000000,70158.10000000000000000000,0.01002100000000000000,--,2290000001064762007, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762006, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010021,703.05432010000000000000,70158.10000000000000000000,0.01002100000000000000,--,2290000001064762005, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.00001,701.58100000000000000000,70158.10000000000000000000,0.01000000000000000000,--,2290000001064762004, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000009978,700.03752180000000000000,70158.10000000000000000000,0.00997800000000000000,--,2290000001064762003, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010078,707.05333180000000000000,70158.10000000000000000000,0.01007800000000000000,--,2290000001064762002, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000017403,1220.96141430000000000000,70158.10000000000000000000,0.01740300000000000000,--,2290000001064762001, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000006,420.94860000000000000000,70158.10000000000000000000,0.00600000000000000000,--,2290000001064762000, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.000010078,707.05333180000000000000,70158.10000000000000000000,0.01007800000000000000,--,2290000001064761999, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0001072,7520.94832000000000000000,70158.10000000000000000000,0.10720000000000000000,--,2290000001064761998, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000001,7.01581000000000000000,70158.10000000000000000000,0.00010000000000000000,--,2290000001064761997, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000001,7.01581000000000000000,70158.10000000000000000000,0.00010000000000000000,--,2290000001064761996, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000001,7.01581000000000000000,70158.10000000000000000000,0.00010000000000000000,--,2290000001064761995, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000001,7.01581000000000000000,70158.10000000000000000000,0.00010000000000000000,--,2290000001064761994, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,BUY,BTC,0.0000015,105.23715000000000000000,70158.10000000000000000000,0.00150000000000000000,--,2290000001064761993, 50725888,00:07 2026-03-12
BTCUSDT,MARKET,SELL,USDT,0.0053252636,5.32526360000000000000,67408.40000000000000000000,0.00007900000000000000,--,2290000001060139315, 06053888,06:40 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.1680078988,168.00789880000000000000,67418.90000000000000000000,0.00249200000000000000,--,2290000001060139215, 58558720,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.1332871653,133.28716530000000000000,67418.90000000000000000000,0.00197700000000000000,--,2290000001060139214, 58558720,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0103150917,10.31509170000000000000,67418.90000000000000000000,0.00015300000000000000,--,2290000001060139213, 58558720,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.7541478154,754.14781540000000000000,67418.90000000000000000000,0.01118600000000000000,--,2290000001060139212, 58558720,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.907927839,907.92783900000000000000,67403.70000000000000000000,0.01347000000000000000,--,2290000001060139115, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.952351116,952.35111600000000000000,67404.00000000000000000000,0.01412900000000000000,--,2290000001060139114, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,3.5619128292,3561.91282920000000000000,67404.30000000000000000000,0.05284400000000000000,--,2290000001060139113, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,13.143858,13143.85800000000000000000,67404.40000000000000000000,0.19500000000000000000,--,2290000001060139112, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,22.9250452928,22925.04529280000000000000,67404.40000000000000000000,0.34011200000000000000,--,2290000001060139111, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0146941592,14.69415920000000000000,67404.40000000000000000000,0.00021800000000000000,--,2290000001060139110, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0057967784,5.79677840000000000000,67404.40000000000000000000,0.00008600000000000000,--,2290000001060139109, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.015503012,15.50301200000000000000,67404.40000000000000000000,0.00023000000000000000,--,2290000001060139108, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0163118648,16.31186480000000000000,67404.40000000000000000000,0.00024200000000000000,--,2290000001060139107, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0172555264,17.25552640000000000000,67404.40000000000000000000,0.00025600000000000000,--,2290000001060139106, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,1.4448807184,1444.88071840000000000000,67404.40000000000000000000,0.02143600000000000000,--,2290000001060139105, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.999944274,999.94427400000000000000,67404.40000000000000000000,0.01483500000000000000,--,2290000001060139104, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0181317836,18.13178360000000000000,67404.40000000000000000000,0.00026900000000000000,--,2290000001060139103, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0191428496,19.14284960000000000000,67404.40000000000000000000,0.00028400000000000000,--,2290000001060139102, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.6009776304,600.97763040000000000000,67404.40000000000000000000,0.00891600000000000000,--,2290000001060139101, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,1.8797065028,1879.70650280000000000000,67404.40000000000000000000,0.02788700000000000000,--,2290000001060139100, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.1332584988,133.25849880000000000000,67404.40000000000000000000,0.00197700000000000000,--,2290000001060139099, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.0201539156,20.15391560000000000000,67404.40000000000000000000,0.00029900000000000000,--,2290000001060139098, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,2.162333152,2162.33315200000000000000,67404.40000000000000000000,0.03208000000000000000,--,2290000001060139097, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.00674044,6.74044000000000000000,67404.40000000000000000000,0.00010000000000000000,--,2290000001060139096, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.00674044,6.74044000000000000000,67404.40000000000000000000,0.00010000000000000000,--,2290000001060139095, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,1.7687588604,1768.75886040000000000000,67404.40000000000000000000,0.02624100000000000000,--,2290000001060139094, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.168511,168.51100000000000000000,67404.40000000000000000000,0.00250000000000000000,--,2290000001060139093, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.674044,674.04400000000000000000,67404.40000000000000000000,0.01000000000000000000,--,2290000001060139092, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.674044,674.04400000000000000000,67404.40000000000000000000,0.01000000000000000000,--,2290000001060139091, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.674044,674.04400000000000000000,67404.40000000000000000000,0.01000000000000000000,--,2290000001060139090, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.674044,674.04400000000000000000,67404.40000000000000000000,0.01000000000000000000,--,2290000001060139089, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.021232386,21.23238600000000000000,67404.40000000000000000000,0.00031500000000000000,--,2290000001060139088, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.00674044,6.74044000000000000000,67404.40000000000000000000,0.00010000000000000000,--,2290000001060139087, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,1.0428134724,1042.81347240000000000000,67404.40000000000000000000,0.01547100000000000000,--,2290000001060139086, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.674044,674.04400000000000000000,67404.40000000000000000000,0.01000000000000000000,--,2290000001060139085, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.00505533,5.05533000000000000000,67404.40000000000000000000,0.00007500000000000000,--,2290000001060139084, 86836992,06:39 2026-03-09
BTCUSDT,MARKET,SELL,USDT,0.168511,168.51100000000000000000,67404.40000000000000000000,0.00250000000000000000,--,2290000001060139083, 86836992,06:39 2026-03-09
